CO,Vict num,Tot vic,Tot susp,V sex,V race,V age,Crm Stat,VO_1,VO_2,VO_3,VO_4,Inc MO,Inc day,Inc YR,Week day,Death YR,Means of Death,Loc,PE,Spec Circ
30,1.0,1.0,1.0,1.0,H,54,1,29,,,,4,26,2015,1.0,2015.0,6,02,62,0.0
33,1.0,1.0,1.0,2.0,B,28,1,2,,,,12,8,2015,3.0,2015.0,6,02,62,0.0
33,2.0,2.0,1.0,2.0,H,23,1,2,,,,1,4,2015,1.0,2015.0,3,02,99,0.0
33,1.0,1.0,1.0,2.0,B,36,1,2,,,,7,28,2015,3.0,2015.0,3,02,99,0.0
33,1.0,1.0,1.0,1.0,W,40,1,22,,,,10,9,2015,6.0,2015.0,2,14,99,999.0
34,1.0,1.0,1.0,2.0,W,52,1,2,,,,4,9,2015,5.0,2015.0,2,24,62,0.0
34,1.0,1.0,1.0,2.0,A,83,1,2,,,,6,5,2015,6.0,2015.0,6,24,62,0.0
34,1.0,1.0,1.0,2.0,W,55,1,2,,,,10,24,2015,7.0,2015.0,2,24,62,0.0
34,1.0,1.0,1.0,2.0,W,37,1,2,,,,11,14,2015,7.0,2015.0,2,02,62,0.0
34,1.0,1.0,1.0,2.0,W,40,1,23,,,,12,9,2015,4.0,2015.0,7,02,62,0.0
34,1.0,1.0,1.0,2.0,W,25,1,2,,,,12,21,2015,2.0,2015.0,6,02,62,0.0
34,1.0,1.0,1.0,1.0,W,68,1,22,,,,8,8,2015,7.0,2015.0,6,24,62,0.0
34,1.0,1.0,1.0,2.0,W,46,1,23,,,,3,16,2015,2.0,2015.0,11,02,62,0.0
34,1.0,1.0,1.0,2.0,W,32,1,23,,,,3,26,2015,5.0,2015.0,7,24,62,0.0
36,1.0,1.0,1.0,2.0,B,37,1,23,,,,12,23,2015,4.0,2015.0,1,04,62,0.0
36,1.0,1.0,1.0,2.0,H,50,1,2,,,,5,8,2015,6.0,2015.0,6,24,62,0.0
36,1.0,1.0,1.0,1.0,W,66,1,1,,,,7,30,2015,5.0,2015.0,7,02,62,0.0
36,1.0,1.0,1.0,1.0,B,35,1,1,,,,5,4,2015,2.0,2015.0,1,02,62,0.0
37,2.0,2.0,1.0,1.0,H,32,1,22,,,,1,16,2015,6.0,2015.0,4,03,62,0.0
37,2.0,2.0,1.0,2.0,W,28,1,23,,,,5,1,2015,6.0,2015.0,2,02,62,0.0
37,1.0,1.0,1.0,2.0,W,43,1,23,,,,7,27,2015,2.0,2015.0,6,02,62,0.0
37,1.0,1.0,1.0,1.0,O,30,1,22,,,,10,16,2015,6.0,2015.0,2,24,62,0.0
37,1.0,1.0,1.0,2.0,H,38,1,2,,,,12,29,2015,3.0,2015.0,6,03,62,0.0
37,1.0,1.0,1.0,2.0,O,59,1,23,,,,1,7,2015,4.0,2015.0,1,24,26,0.0
37,1.0,1.0,1.0,2.0,C,42,1,2,,,,1,20,2015,3.0,2015.0,1,02,45,0.0
37,1.0,1.0,1.0,1.0,W,48,1,1,,,,4,12,2015,1.0,2015.0,6,16,45,0.0
37,1.0,1.0,1.0,2.0,W,37,1,2,,,,6,6,2015,7.0,2015.0,4,06,45,0.0
37,1.0,1.0,1.0,2.0,W,61,1,23,,,,8,4,2015,3.0,2015.0,8,99,62,0.0
37,1.0,1.0,1.0,2.0,H,35,1,2,,,,11,8,2015,1.0,2015.0,1,01,62,0.0
37,1.0,1.0,1.0,2.0,W,84,1,2,,,,6,1,2015,2.0,2015.0,2,02,62,0.0
38,1.0,1.0,1.0,1.0,O,37,1,1,,,,2,4,2015,4.0,2015.0,2,16,62,192.0
38,1.0,1.0,1.0,2.0,B,43,1,23,,,,7,25,2015,7.0,2015.0,2,13,45,999.0
38,1.0,1.0,1.0,1.0,W,58,1,22,,,,1,28,2015,4.0,2015.0,0,01,99,999.0
38,1.0,1.0,1.0,2.0,H,60,1,23,,,,12,13,2015,1.0,2015.0,8,02,62,999.0
41,1.0,1.0,1.0,2.0,W,34,1,23,,,,11,28,2015,7.0,2015.0,6,02,62,0.0
41,1.0,1.0,1.0,2.0,W,91,1,2,,,,6,13,2015,7.0,2015.0,6,02,26,0.0
42,1.0,1.0,1.0,2.0,W,45,1,2,,,,10,8,2015,5.0,2015.0,2,02,62,0.0
43,1.0,1.0,1.0,2.0,F,20,1,23,,,,10,5,2015,2.0,2015.0,6,02,62,150.0
43,1.0,1.0,1.0,2.0,H,33,1,23,,,,4,7,2015,3.0,2015.0,2,15,62,0.0
43,1.0,1.0,1.0,2.0,K,30,1,23,,,,9,12,2015,7.0,2015.0,8,02,62,0.0
43,1.0,1.0,1.0,2.0,H,27,1,23,,,,10,26,2015,2.0,2015.0,6,13,62,0.0
43,1.0,1.0,1.0,2.0,H,53,1,23,,,,11,9,2015,2.0,2015.0,2,02,62,0.0
43,1.0,1.0,1.0,2.0,A,77,1,2,,,,12,22,2015,3.0,2015.0,2,02,26,0.0
47,1.0,1.0,1.0,2.0,W,34,1,23,,,,7,1,2015,4.0,2015.0,6,02,62,140.0
48,1.0,1.0,1.0,1.0,W,45,1,1,,,,10,25,2015,1.0,2015.0,6,24,99,0.0
48,1.0,2.0,1.0,2.0,F,35,1,25,,,,7,23,2015,5.0,2015.0,2,13,45,0.0
50,1.0,1.0,1.0,2.0,W,48,1,2,,,,7,27,2015,2.0,2015.0,7,99,62,0.0
50,1.0,3.0,1.0,2.0,W,56,1,2,,,,1,1,2015,5.0,2015.0,2,24,99,0.0
50,5.0,5.0,1.0,2.0,W,38,1,23,,,,7,18,2015,7.0,2015.0,6,02,62,0.0
52,2.0,2.0,1.0,2.0,W,29,1,25,,,,7,2,2015,5.0,2015.0,3,07,45,0.0
54,1.0,1.0,1.0,1.0,W,31,1,24,,,,2,6,2015,6.0,2015.0,2,02,46,150.0
54,1.0,1.0,1.0,2.0,W,58,1,2,,,,4,9,2015,5.0,2015.0,4,24,99,0.0
54,1.0,1.0,1.0,2.0,H,40,1,2,,,,4,11,2015,7.0,2015.0,2,03,62,150.0
58,1.0,1.0,1.0,2.0,W,31,1,23,,,,11,22,2015,1.0,2015.0,3,13,45,0.0
19,1.0,1.0,1.0,2.0,W,25,1,2,,,,5,24,2015,1.0,2015.0,7,02,62,0.0
19,1.0,1.0,1.0,1.0,B,33,1,29,,,,1,31,2015,7.0,2015.0,6,03,62,0.0
19,1.0,1.0,1.0,2.0,H,32,1,23,,,,3,28,2015,7.0,2015.0,6,15,62,0.0
19,1.0,1.0,1.0,2.0,O,50,1,2,,,,5,7,2015,5.0,2015.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,72,1,2,,,,1,10,2015,7.0,2015.0,2,24,62,0.0
19,1.0,1.0,1.0,2.0,H,45,1,2,,,,2,8,2015,1.0,2015.0,6,24,62,0.0
19,1.0,1.0,1.0,2.0,H,45,1,2,,,,5,7,2015,5.0,2015.0,1,02,62,0.0
19,1.0,1.0,1.0,2.0,H,36,1,2,,,,5,9,2015,7.0,2015.0,2,14,62,0.0
19,1.0,1.0,1.0,2.0,B,50,1,23,,,,3,23,2015,2.0,2015.0,0,03,62,0.0
19,1.0,1.0,1.0,2.0,B,28,1,23,,,,8,3,2015,2.0,2015.0,2,24,62,0.0
19,1.0,1.0,1.0,1.0,O,57,1,29,,,,8,19,2015,4.0,2015.0,11,24,62,0.0
19,1.0,1.0,1.0,2.0,H,36,1,4,,,,9,10,2015,5.0,2015.0,11,02,62,0.0
19,1.0,1.0,1.0,2.0,B,33,1,23,,,,11,7,2015,7.0,2015.0,8,02,62,0.0
33,1.0,1.0,1.0,2.0,H,20,1,23,,,,8,12,2015,4.0,2015.0,11,03,99,999.0
34,1.0,1.0,1.0,2.0,A,77,1,2,,,,2,23,2015,2.0,2015.0,6,24,26,0.0
15,1.0,1.0,1.0,2.0,W,55,1,23,,,,10,8,2015,5.0,2015.0,6,16,62,0.0
17,1.0,1.0,1.0,2.0,W,58,1,23,,,,5,23,2015,7.0,2015.0,2,02,62,0.0
19,3.0,3.0,1.0,2.0,W,54,1,2,,,,12,31,2015,5.0,2015.0,2,24,62,0.0
19,1.0,1.0,1.0,2.0,U,31,1,25,,,,2,25,2015,4.0,2015.0,1,03,62,0.0
30,1.0,1.0,1.0,1.0,H,25,1,22,,,,8,5,2015,4.0,2015.0,1,02,62,0.0
30,1.0,1.0,1.0,2.0,W,73,1,2,,,,2,3,2015,3.0,2015.0,8,02,62,0.0
30,1.0,1.0,1.0,1.0,W,52,1,22,,,,2,21,2015,7.0,2015.0,6,02,62,0.0
